Week,Matchup,Majority Pick,Votes
1,DAL at TB,TB,8
1,ARI at TEN,TEN,5
1,JAX at HOU,HOU,5
1,LAC at WSH,WSH,7
1,MIN at CIN,MIN,7
1,NYJ at CAR,CAR,8
1,PHI at ATL,ATL,6
1,PIT at BUF,BUF,8
1,SEA at IND,SEA,7
1,SF at DET,SF,8
1,CLE at KC,KC,8
1,DEN at NYG,DEN,8
1,GB at NO,GB,8
1,MIA at NE,NE,8
1,CHI at LAR,LAR,8
1,BAL at LV,BAL,6
2,NYG at WSH,WSH,7
2,BUF at MIA,BUF,7
2,CIN at CHI,CHI,5
2,DEN at JAX,DEN,8
2,HOU at CLE,CLE,8
2,LAR at IND,LAR,8
2,LV at PIT,PIT,8
2,NE at NYJ,NE,8
2,NO at CAR,NO,6
2,SF at PHI,SF,5
2,ATL at TB,TB,8
2,MIN at ARI,ARI,7
2,DAL at LAC,LAC,8
2,TEN at SEA,SEA,8
2,KC at BAL,KC,8
2,DET at GB,GB,8
3,CAR at HOU,CAR,8
3,ARI at JAX,ARI,8
3,ATL at NYG,NYG,6
3,BAL at DET,BAL,8
3,CHI at CLE,CLE,8
3,CIN at PIT,CIN,5
3,IND at TEN,TEN,8
3,LAC at KC,KC,8
3,NO at NE,NE,7
3,WSH at BUF,BUF,6
3,MIA at LV,LV,6
3,NYJ at DEN,DEN,8
3,SEA at MIN,SEA,6
3,TB at LAR,TB,5
3,GB at SF,SF,5
3,PHI at DAL,DAL,6
4,JAX at CIN,CIN,8
4,CAR at DAL,DAL,7
4,CLE at MIN,CLE,5
4,DET at CHI,CHI,4
4,HOU at BUF,BUF,8
4,IND at MIA,MIA,4
4,KC at PHI,KC,8
4,NYG at NO,NO,8
4,TEN at NYJ,TEN,8
4,WSH at ATL,WSH,5
4,ARI at LAR,LAR,8
4,SEA at SF,SF,6
4,BAL at DEN,BAL,5
4,PIT at GB,GB,8
4,TB at NE,TB,8
4,LV at LAC,LAC,7
5,LAR at SEA,LAR,7
5,NYJ at ATL,NYJ,5
5,DEN at PIT,PIT,6
5,DET at MIN,MIN,8
5,GB at CIN,GB,6
5,MIA at TB,TB,8
5,NE at HOU,NE,8
5,NO at WSH,WSH,5
5,PHI at CAR,CAR,8
5,TEN at JAX,TEN,8
5,CHI at LV,LV,7
5,CLE at LAC,LAC,7
5,NYG at DAL,DAL,8
5,SF at ARI,ARI,7
5,BUF at KC,BUF,6
5,IND at BAL,BAL,8
6,TB at PHI,TB,8
6,MIA at JAX,MIA,5
6,CIN at DET,CIN,6
6,GB at CHI,GB,8
6,HOU at IND,IND,8
6,KC at WSH,KC,8
6,LAC at BAL,LAC,8
6,LAR at NYG,LAR,8
6,MIN at CAR,MIN,5
6,ARI at CLE,CLE,7
6,DAL at NE,DAL,7
6,LV at DEN,DEN,8
6,SEA at PIT,PIT,8
6,BUF at TEN,BUF,8
