Week,Matchup,Majority Pick,Votes,FavoriteML,UnderdogML
1,DAL at TB,TB,18,0.0,0.0
1,PHI at ATL,ATL,14,0.0,0.0
1,PIT at BUF,BUF,17,0.0,0.0
1,MIN at CIN,MIN,15,0.0,0.0
1,SF at DET,SF,19,0.0,0.0
1,ARI at TEN,TEN,14,0.0,0.0
1,SEA at IND,SEA,17,0.0,0.0
1,LAC at WSH,LAC,14,0.0,0.0
1,NYJ at CAR,CAR,19,0.0,0.0
1,JAX at HOU,JAX,10,0.0,0.0
1,CLE at KC,KC,16,0.0,0.0
1,MIA at NE,NE,17,0.0,0.0
1,GB at NO,GB,17,0.0,0.0
1,DEN at NYG,DEN,17,0.0,0.0
1,CHI at LAR,LAR,17,0.0,0.0
1,BAL at LV,BAL,16,0.0,0.0
2,NYG at WSH,WSH,15,0.0,0.0
2,CIN at CHI,CHI,10,0.0,0.0
2,HOU at CLE,CLE,19,0.0,0.0
2,LAR at IND,LAR,18,0.0,0.0
2,BUF at MIA,MIA,13,0.0,0.0
2,NE at NYJ,NE,19,0.0,0.0
2,SF at PHI,SF,12,0.0,0.0
2,LV at PIT,PIT,18,0.0,0.0
2,NO at CAR,NO,17,0.0,0.0
2,DEN at JAX,DEN,19,0.0,0.0
2,MIN at ARI,ARI,17,0.0,0.0
2,ATL at TB,TB,19,0.0,0.0
2,DAL at LAC,LAC,14,0.0,0.0
2,TEN at SEA,SEA,18,0.0,0.0
2,KC at BAL,KC,18,0.0,0.0
2,DET at GB,GB,18,0.0,0.0
3,CAR at HOU,CAR,19,0.0,0.0
3,WSH at BUF,BUF,17,0.0,0.0
3,CHI at CLE,CLE,19,0.0,0.0
3,BAL at DET,BAL,19,0.0,0.0
3,IND at TEN,TEN,18,0.0,0.0
3,LAC at KC,KC,19,0.0,0.0
3,NO at NE,NE,16,0.0,0.0
3,ATL at NYG,NYG,15,0.0,0.0
3,CIN at PIT,PIT,14,0.0,0.0
3,ARI at JAX,ARI,18,0.0,0.0
3,NYJ at DEN,DEN,19,0.0,0.0
3,MIA at LV,LV,16,0.0,0.0
3,TB at LAR,LAR,14,0.0,0.0
3,SEA at MIN,SEA,15,0.0,0.0
3,GB at SF,GB,10,0.0,0.0
3,PHI at DAL,DAL,17,0.0,0.0
4,JAX at CIN,CIN,19,0.0,0.0
4,WSH at ATL,WSH,11,0.0,0.0
4,HOU at BUF,BUF,19,0.0,0.0
4,DET at CHI,CHI,11,0.0,0.0
4,CAR at DAL,DAL,17,0.0,0.0
4,IND at MIA,MIA,11,0.0,0.0
4,CLE at MIN,CLE,10,0.0,0.0
4,NYG at NO,NO,19,0.0,0.0
4,TEN at NYJ,TEN,18,0.0,0.0
4,KC at PHI,KC,19,0.0,0.0
4,ARI at LAR,LAR,18,0.0,0.0
4,SEA at SF,SF,14,0.0,0.0
4,BAL at DEN,BAL,11,0.0,0.0
4,PIT at GB,GB,18,0.0,0.0
4,TB at NE,TB,18,0.0,0.0
4,LV at LAC,LAC,17,0.0,0.0
5,LAR at SEA,LAR,15,0.0,0.0
5,NYJ at ATL,NYJ,10,0.0,0.0
5,GB at CIN,GB,14,0.0,0.0
5,DET at MIN,MIN,17,0.0,0.0
5,DEN at PIT,PIT,12,0.0,0.0
5,MIA at TB,TB,18,0.0,0.0
5,NO at WSH,NO,15,0.0,0.0
5,PHI at CAR,CAR,17,0.0,0.0
5,TEN at JAX,TEN,17,0.0,0.0
5,NE at HOU,NE,18,0.0,0.0
5,CHI at LV,LV,16,0.0,0.0
5,CLE at LAC,LAC,15,0.0,0.0
5,NYG at DAL,DAL,17,0.0,0.0
5,SF at ARI,ARI,14,0.0,0.0
5,BUF at KC,BUF,13,0.0,0.0
5,IND at BAL,BAL,17,0.0,0.0
6,TB at PHI,TB,18,-300.0,240.0
6,MIA at JAX,MIA,13,-160.0,140.0
6,GB at CHI,GB,18,-230.0,190.0
6,CIN at DET,CIN,15,-180.0,155.0
6,HOU at IND,IND,19,-475.0,360.0
6,LAR at NYG,LAR,18,-440.0,340.0
6,KC at WSH,KC,19,-300.0,240.0
6,MIN at CAR,MIN,10,-130.0,110.0
6,LAC at BAL,LAC,14,-140.0,120.0
6,ARI at CLE,CLE,13,-175.0,150.0
6,LV at DEN,DEN,17,-190.0,160.0
6,DAL at NE,DAL,17,-175.0,150.0
6,SEA at PIT,PIT,16,-230.0,190.0
6,BUF at TEN,BUF,17,-250.0,205.0
